Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,125.9,-94.6,0.0,top
C10,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,134.15,-98.7,-90.0,top
C11,2.2nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,139.75,-101.0,-90.0,top
C12,2.2nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,144.65,-101.0,-90.0,top
C13,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,117.03,-91.85,0.0,top
C14,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,115.325,-88.225,-100.0,top
C15,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,120.9,-92.1,180.0,top
C16,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,120.9,-93.4,180.0,top
C17,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,120.8,-94.6,180.0,top
C18,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,120.25,-95.95,180.0,top
C19,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,128.7,-104.9,0.0,top
C2,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,128.3,-94.6,180.0,top
C20,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,132.75,-107.0,0.0,top
C21,2.2nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,126.3,-108.0,-90.0,top
C22,2.2nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,132.75,-104.85,0.0,top
C3,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,124.95,-101.25,-90.0,top
C4,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,134.15,-96.4,90.0,top
C5,2.2uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,123.75,-97.6,0.0,top
C6,2.2uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,123.75,-99.25,180.0,top
C7,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,123.5,-94.6,180.0,top
C8,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,130.75,-94.6,0.0,top
C9,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,123.25,-101.85,180.0,top
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,130.25,-87.75,90.0,top
J2,PJ-320D-A,HRO_PJ-320D-A,137.8,-87.0,180.0,top
J8,PJ-320D-A,HRO_PJ-320D-A,137.85,-115.0,180.0,top
R1,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,137.5,-99.6,0.0,top
R2,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,142.25,-99.6,0.0,top
R3,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,122.4,-105.4,0.0,top
R4,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,130.6,-103.2,0.0,top
R5,220,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,130.4,-85.0,0.0,top
U1,PCM5100APWR,PW0020A,129.5,-99.0,0.0,top
U2,PCM1808PWR,PW14,119.05,-100.7611,-90.0,top
