Designator,Mid X,Mid Y,Rotation,Layer
C1,178.508,-81.9175,180.0,top
C2,111.244,-98.9305,0.0,top
C3,115.054,-110.4875,0.0,top
C4,141.232,-110.4925,180.0,top
C5,165.87,-110.7465,180.0,top
C6,134.485,-72.6415,0.0,top
C7,146.3015,-86.749,90.0,top
C8,144.2695,-86.749,90.0,top
D1,175.895,-84.455,270.0,top
D2,131.445,-70.358,180.0,top
U1,147.1575,-92.76275,270.0,top
U2,103.081,-101.346,270.0,top
U3,123.19,-72.56,180.0,top
U4,180.3685,-91.44,90.0,top
U5,170.18,-119.38,0.0,top
U6,145.415,-119.38,0.0,top
U7,119.38,-119.38,0.0,top
