Designator,Mid X,Mid Y,Rotation,Layer
C68,73.744274,-49.559724,0.0,bottom
C69,131.154675,-49.596931,0.0,bottom
C70,187.89535,-49.522517,0.0,bottom
C71,245.045302,-49.522517,0.0,bottom
C72,302.232461,-49.559724,0.0,bottom
J1,53.140458,-34.270901,90.0,top
U0:0,38.1,-38.1,45.0,bottom
U0:1,61.9125,-38.1,45.0,bottom
U0:10,233.3625,-38.1,45.0,bottom
U0:11,252.4125,-38.1,225.0,bottom
U0:12,271.4625,-38.1,45.0,bottom
U0:13,290.5125,-38.1,45.0,bottom
U0:14,319.0875,-38.1,225.0,bottom
U0:2,80.9625,-38.1,225.0,bottom
U0:3,100.0125,-38.1,225.0,bottom
U0:4,119.0625,-38.1,45.0,bottom
U0:5,138.1125,-38.1,225.0,bottom
U0:6,157.353125,-38.1,45.0,bottom
U0:7,176.2125,-38.1,45.0,bottom
U0:8,195.2625,-38.1,225.0,bottom
U0:9,214.3125,-38.1,45.0,bottom
U1,71.54793,-43.643279,90.0,bottom
U1:0,38.1,-57.15,45.0,bottom
U1:1,66.675,-57.15,315.0,bottom
U1:10,242.8875,-57.15,315.0,bottom
U1:11,261.9375,-57.15,45.0,bottom
U1:12,280.9875,-57.15,45.0,bottom
U1:13,300.0375,-57.15,315.0,bottom
U1:14,326.23125,-66.675,315.0,bottom
U1:2,90.4875,-57.15,45.0,bottom
U1:3,109.5375,-57.15,45.0,bottom
U1:4,128.5875,-57.15,315.0,bottom
U1:5,147.6375,-57.15,45.0,bottom
U1:6,166.6875,-57.15,45.0,bottom
U1:7,185.7375,-57.15,315.0,bottom
U1:8,204.7875,-57.15,45.0,bottom
U1:9,223.8375,-57.15,45.0,bottom
U2,128.932744,-43.643279,90.0,bottom
U2:0,38.1,-76.2,45.0,bottom
U2:1,69.05625,-76.2,225.0,bottom
U2:10,247.65,-76.2,45.0,bottom
U2:11,266.7,-76.2,45.0,bottom
U2:12,285.75,-76.2,45.0,bottom
U2:13,304.8,-76.2,225.0,bottom
U2:2,95.25,-76.2,45.0,bottom
U2:3,114.3,-76.2,45.0,bottom
U2:4,133.35,-76.2,315.0,bottom
U2:5,152.4,-76.2,45.0,bottom
U2:6,171.45,-76.2,45.0,bottom
U2:7,190.5,-76.2,315.0,bottom
U2:8,209.55,-76.2,45.0,bottom
U2:9,228.6,-76.2,45.0,bottom
U3,185.710626,-43.643279,90.0,bottom
U3:1,64.29375,-95.25,315.0,bottom
U3:10,238.125,-95.25,45.0,bottom
U3:11,257.175,-95.25,45.0,bottom
U3:12,276.225,-95.25,45.0,bottom
U3:13,311.94375,-95.25,45.0,bottom
U3:2,85.725,-95.25,45.0,bottom
U3:3,104.775,-95.25,45.0,bottom
U3:4,123.825,-95.25,45.0,bottom
U3:5,142.875,-95.25,45.0,bottom
U3:6,161.925,-95.25,45.0,bottom
U3:7,180.975,-95.25,45.0,bottom
U3:8,200.025,-95.25,45.0,bottom
U3:9,219.075,-95.25,45.0,bottom
U4,242.860578,-43.643279,90.0,bottom
U4:1,69.05625,-114.3,315.0,bottom
U4:10,261.9375,-114.3,45.0,bottom
U4:12,290.5125,-114.3,45.0,bottom
U4:13,309.5625,-114.3,45.0,bottom
U4:14,328.6125,-114.3,315.0,bottom
U4:2,97.63125,-114.3,45.0,bottom
U4:3,121.44375,-114.3,45.0,bottom
U4:5,154.78125,-114.3,45.0,bottom
U4:7,202.40625,-114.3,45.0,bottom
U4:9,240.50625,-114.3,45.0,bottom
U5,299.451016,-43.643279,90.0,bottom
